,0,1,2,3
0,Aeon Bukit Indah," Lot G-76, Aeon Bukit Indah Shopping Centre, Jalan Bukit Indah 15/2, Taman Bukit Indah, 79000 Nusajaya",07-237 7021 & 07-232 1141,Pn. Norita Binti  Abdullah
1,Aeon Tebrau City," Lot S37, Jaya Jusco Tebrau City Shopping Centre, Jalan Kota Tinggi, 81100 Johor Bahru",07-3560928,En. Mohd Nazli Bin Adnan
2,Ayer Baloi," JKR 1552, Kampung Tengah, 82100 Ayer Baloi",07-693 1230,ILIAS BARIS
3,Ayer Hitam," JKR 1429, Jalan Batu Pahat, 86100 Ayer Hitam",07-758 1333,Shahrudin Bin Sadoon
4,Ayer Tawar 2," JKR 1389P, Felda Ayer Tawar 2, 81900 Kota Tinggi",07-893 1958,En. Anwaruddin Bin Roslan
5,Bakri," MLO 1658, Jalan Selatan, 84200 Bakri",06-986 6212,Noorazanizam Bin Noor Radin
6,Bandar Baru Permas Jaya," No. 5, Jalan Permas 10/3, Permas Jaya, 81750 Johor Bahru.",07-3882576,Pn. Ani Binti Nasron
7,Bandar Baru Uda," 6, Jalan Padi Mahsuri 12, Bandar Baru Uda, 81200 Johor",07-234 5605,SALWA BINTI ABD SAMAD
8,Bandar Penawar," JKR 670, Jalan Dato Hj. Hassan Yunus, Bandar Penawar, 81900 Kota Tinggi",07-822 1770,En. Muhammad Fuad Bin Sudirman
9,Bandar Tenggara," Lot 1214, Jalan Tun Mahmud, 81000 Kulai",07-896 1177,En. Abd. Halim Bin Jumrah
10,Batu Anam," No. 3, Bangunan PKENJ, Jalan Besar, 85100 Batu Anam",07-949 9200,ROHANA HASHIM
11,Batu Pahat," JKR 391, Jalan Rahmat, 83000 Batu Pahat",07-432 3431fax:07-433 6433,ROSMAH DIKON
12,Bekok," JKR 315, Jalan Pejabat Pos, 85500 Bekok",07-922 1235,AHMAD FADLI BIN MUSTAFFA
13,Benut," JKR 421, Jalan Jaafar, 82200 Benut",07-690 3241,NORAZLINA ADNAN
14,Bukit Gambir," JKR 1970A, Jalan Besar, 84800 Bukit Gambir",06-976 1206,Noraini Binti Shadat
15,Bukit Pasir," PTD 2258, No. 9, Jalan Perdagangan, Pekan Bukit Pasir, 84300 Muar",06-985 6211,Norazilinda Binti Ramlee
16,Carrefour," Lot 138, Batu 7 1/2, Jalan Kota Tinggi, Pandan, 81100 Johor Bharu",07-3533298,MOHD NAZLI ADNAN
17,Chaah," JKR 984, Jalan Sultan, 85400 Chaah",07-926 1242,Mohd Faizal Bin Selamat
18,Endau," JKR 70, Jalan Masjid, 86900 Endau",07-794 3230,Cik Nurfazidah Binti Hamidin
