,0,1,2,3
0,Aeon Big Taman Dagang Ampang," F2.41 & 2.42, Aeon Big Ampang, Taman Dagang Permai, 68000 Ampang",03-4291 1008,Pn. Balqis Binti Hussain
1,Aeon MidValley Megamall," LG Floor, Unit AT3 Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur",03-2283 1959,En. Taufiqur Rahman Bin Mohd Salleh
2,Ampang," Lot 1.1 & 1.2, Tingkat 1, Spectrum Shopping Mall, Jalan Wawasan Ampang 4/2, 68000 Ampang",03-4278 4528,SALASIAH YAAKOB
3,Ampang Point," Lot F21A, First Floor, Ampang Point Shopping Center,Jalan Ampang,68000 Ampang.",03-4253 2850,Pn. Mazlina Binti Mohamad
4,Bandar Sri Damansara," No. 18G, Jalan Chempaka SD 12/2, Bandar Sri Damansara, 52200 Kuala Lumpur",03-62771930,MOHD SHARUDDIN HASHIM
5,Bandar Tun Razak," No. 4, Aras 1 Pusat Komersial Komuniti, Jalan Budiman, Bandar Tun Razak, 56000 Kuala Lumpur",03-9171 5555,NOR HANIS MAT SAMAN
6,Bangsar Baru," 48, Jalan Telawi, Bangsar Baru, 59100 Kuala Lumpur",03-2284 0219,Roshasmi Hashim
7,Batu Caves," No. 32, Taman Seri Selayang, 68100 Batu Caves",03-6189 6660,FAUZIAH MAHMOOD
8,Bukit Angkasa," No. 5, Jalan Pantai Murni 6, Bukit Angkasa, Pantai Dalam, 59200 Kuala Lumpur",03-2241 3708,ZANARIAH JOHARI
9,Cheras Viva Home," Lot No. LG-13, Lower Ground Floor, Viva Home, No. 85, Jalan Loke Yew, 55200 Kuala Lumpur",03-92811603,HALIMAH AWANG HAMAT
10,Damai Perdana," No. 22, Jalan Damai Perdana 5/1, Bandar Damai Perdana, Cheras, 56000 Kuala Lumpur",03-9100 2464,AB RASHID ABAS
11,Desa Pandan," No. 44, Jalan 4/76C, Desa Pandan, 55100 Kuala Lumpur",03-9284 2449,NORSIAH ABD AZIZ
12,EziBox@BHP Jln Pantai Baru ," Lot 8267-8272, 64, Jalan Pantai Baru, 59200 Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",-,-
13,EziBox@BHP Tmn Melawati," BHPetrol Taman Melawati, 53100 Ampang Jaya, Selangor",-,-
14,EziBox@BHP Tmn Seri Gombak," Jalan Makmur, Kawasan Industri Sri Gombak, 68100 Batu Caves, Selangor",-,-
15,EziBox@Dataran Maybank," Foyer Tower A, Dataran Maybank 1, 1 Jln  Maarof, Taman Bangsar 59000 Kuala Lumpur",-,-
16,EziBox@IJN," 145, Jalan Tun Razak, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
17,EziBox@Kiosk E-Commerce Hub Dayabumi," E-Commerce Kiosk, Level 1, Kompleks Dayabumi, Jln  Tan Cheng Lock, KL",-,-
18,EziBox@KKMM," Lot 4G9, Persiaran Perdana, Presint 4, Pusat Pentadbiran Kerajaan Persekutuan, 62100 Putrajaya, Wilayah Persekutuan Putrajaya",-,-
19,EziBox@LRT Ampang," Kampung Melayu Ampang, Ampang Jaya, Selangor",-,-
20,EziBox@LRT Bdr Tasik Selatan," Bandar Tasek Selatan, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",-,-
21,EziBox@LRT Damai," Kampung Datuk Keramat, 54000 Kuala Lumpur,  Wilayah Persekutuan Kuala Lumpur",-,-
22,EziBox@LRT Gombak," Jln  Terminal Putra, Taman Melati, Kuala Lumpur",-,-
23,EziBox@LRT Kampung Baru," Kampung Datuk Keramat, 54000 Kuala Lumpur,  Wilayah Persekutuan Kuala Lumpur",-,-
24,EziBox@LRT Pandan Jaya," Pandan Indah, 55100 Ampang Jaya, Selangor",-,-
25,EziBox@LRT Sentul Timur," Jln  2/48A, Bandar Baru Sentul,Kuala Lumpur, Federal Territory of Kuala Lumpur",-,-
